date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct,tp2,tp3,tp1_hit,tp1_day,tp2_hit,tp2_day,tp3_hit,tp3_day,stop_hit,stop_day,tp1_before_stop,tp2_before_stop,tp3_before_stop,max_high_pct,min_low_pct,max_close_pct
20260326,079550,LIG넥스원,무기 및 총포탄 제조업,🏆 최강,58.2,735000.0,899000.0,624000.0,LOSS,624000.0,3,ohlc_low_touch,2026-03-27,-15.1,-15.32,927000.0,1036000.0,True,10,False,0,False,0,True,3,False,False,False,25.99,-17.82,20.68
20260326,218410,RFHIC,통신 및 방송 장비 제조업,🏆 최강,41.2,81100.0,94000.0,68900.0,WIN,94000.0,4,ohlc_high_touch,2026-03-27,15.91,15.69,112700.0,132300.0,True,4,False,0,False,0,False,0,True,False,False,20.84,-8.01,16.15
20260327,356860,티엘비,전자부품 제조업,🏆 최강,67.57,73100.0,82600.0,62100.0,LOSS,62100.0,2,ohlc_low_touch,2026-03-30,-15.05,-15.27,92900.0,105100.0,True,9,False,0,False,0,True,2,False,False,False,14.91,-16.55,9.44
20260330,078350,한양디지텍,반도체 제조업,🏆 최강,69.98,29650.0,35500.0,25200.0,OPEN,28450.0,10,ohlc_horizon_close,2026-03-31,-4.05,-4.27,39200.0,45400.0,False,0,False,0,False,0,False,0,False,False,False,9.44,-12.98,3.54
20260330,010060,OCI홀딩스,기타 금융업,🏆 최강,56.4,187400.0,228000.0,159300.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,254500.0,263000.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260330,424870,이뮨온시아,자연과학 및 공학 연구개발업,🏆 최강,43.05,8900.0,10210.0,7560.0,LOSS,7560.0,4,ohlc_low_touch,2026-03-31,-15.06,-15.28,14860.0,16110.0,False,0,False,0,False,0,True,4,False,False,False,0.85,-21.57,-4.78
20260331,078350,한양디지텍,반도체 제조업,🏆 최강,69.03,27950.0,35500.0,23750.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,37800.0,39850.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260331,131030,옵투스제약,의약품 제조업,🏆 최강,66.21,13490.0,20750.0,11460.0,LOSS,11460.0,2,ohlc_low_touch,2026-04-01,-15.05,-15.27,21350.0,24600.0,False,0,False,0,False,0,True,2,False,False,False,10.16,-38.47,2.08
20260331,424870,이뮨온시아,자연과학 및 공학 연구개발업,🏆 최강,59.74,8570.0,10210.0,7780.0,LOSS,7780.0,2,ohlc_low_touch,2026-04-01,-9.22,-9.44,14690.0,16110.0,False,0,False,0,False,0,True,2,False,False,False,0.35,-18.55,-1.11
20260401,001780,알루코,1차 비철금속 제조업,🏆 최강,77.49,2415.0,2740.0,2105.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,2960.0,3255.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260401,010060,OCI홀딩스,기타 금융업,🏆 최강,60.37,190600.0,228000.0,162000.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,257500.0,263000.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260401,389260,대명에너지,건물 건설업,🏆 최강,57.61,21550.0,25800.0,18310.0,WIN,25800.0,2,ohlc_high_touch,2026-04-02,19.72,19.5,28950.0,33300.0,True,2,False,0,False,0,False,0,True,False,False,28.07,-2.32,26.68
20260402,001780,알루코,1차 비철금속 제조업,🏆 최강,72.72,2385.0,2740.0,2075.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,2945.0,3255.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260402,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,9,ohlc_high_touch,2026-04-03,23.92,23.7,6980.0,0.0,True,9,True,10,False,0,False,0,True,True,False,60.82,-7.84,37.73
20260402,353200,대덕전자,전자부품 제조업,🏆 최강,62.58,80300.0,91300.0,73000.0,WIN,91300.0,4,ohlc_high_touch,2026-04-06,13.7,13.48,94000.0,96300.0,True,4,True,5,False,0,False,0,True,True,False,19.55,-1.0,17.43
20260403,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,8,ohlc_high_touch,2026-04-06,23.92,23.7,6980.0,0.0,True,8,True,9,False,0,False,0,True,True,False,60.82,-7.84,37.73
20260403,012630,HDC,기타 금융업,🏆 최강,57.38,26650.0,30650.0,25050.0,OPEN,27200.0,10,ohlc_horizon_close,2026-04-06,2.06,1.84,34050.0,39800.0,False,0,False,0,False,0,False,0,False,False,False,6.19,-3.38,4.32
20260403,001780,알루코,1차 비철금속 제조업,🏆 최강,47.98,2440.0,2740.0,2130.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,3025.0,3255.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260406,289930,웨이비스,반도체 제조업,🏆 최강,48.8,19600.0,21300.0,16660.0,OPEN,19020.0,10,ohlc_horizon_close,2026-04-07,-2.96,-3.18,25750.0,28500.0,False,0,False,0,False,0,False,0,False,False,False,5.36,-12.86,1.99
20260408,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,5,ohlc_high_touch,2026-04-09,23.92,23.7,6980.0,0.0,True,5,True,6,False,0,False,0,True,True,False,64.54,-3.81,46.19
20260408,010060,OCI홀딩스,기타 금융업,🏆 최강,64.4,197200.0,235000.0,167600.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,269000.0,318500.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260409,373220,LG에너지솔루션,일차전지 및 이차전지 제조업,🏆 최강,61.07,414500.0,491000.0,376500.0,WIN,491500.0,9,ohlc_gap_up,2026-04-10,18.58,18.36,527000.0,0.0,True,9,False,0,False,0,False,0,True,False,False,18.94,-3.74,16.89
20260410,175330,JB금융지주,기타 금융업,🏆 최강,72.85,30950.0,38500.0,27750.0,OPEN,28700.0,10,ohlc_horizon_close,2026-04-13,-7.27,-7.49,42750.0,48050.0,False,0,False,0,False,0,False,0,False,False,False,4.04,-7.43,1.13
